category,discounted_price,original_price,rating,discount_pct,price_ending,pricing_type,units_sold
"Sports, Books and More",12999.0,49990.0,4.2,73.99679935987197,99.0,Charm,356
"Sports, Books and More",7599.0,12000.0,4.2,36.675000000000004,99.0,Charm,414
"Sports, Books and More",77.0,599.0,3.9,87.14524207011685,77.0,Other,232
"Sports, Books and More",74.0,249.0,3.9,70.28112449799197,74.0,Other,340
"Sports, Books and More",287.0,1300.0,3.9,77.92307692307693,87.0,Other,410
"Sports, Books and More",352.0,1300.0,3.9,72.92307692307692,52.0,Other,321
"Sports, Books and More",295.0,1399.0,4.2,78.91350964974983,95.0,Other,394
"Sports, Books and More",8535.0,45999.0,4.0,81.44524880975673,35.0,Other,193
"Sports, Books and More",299.0,699.0,3.9,57.224606580829764,99.0,Charm,184
"Sports, Books and More",199.0,599.0,4.2,66.7779632721202,99.0,Charm,296
"Sports, Books and More",254.0,799.0,3.7,68.21026282853568,54.0,Other,135
"Sports, Books and More",8535.0,45999.0,4.1,81.44524880975673,35.0,Other,284
"Sports, Books and More",199.0,445.0,3.8,55.28089887640449,99.0,Charm,200
"Sports, Books and More",3295.0,3600.0,4.2,8.472222222222223,95.0,Other,61
"Sports, Books and More",5599.0,10199.0,4.1,45.10246102559074,99.0,Charm,162
"Sports, Books and More",7919.0,34999.0,4.3,77.37363924683562,19.0,Other,318
"Sports, Books and More",5499.0,6999.0,4.1,21.43163309044149,99.0,Charm,270
"Sports, Books and More",249.0,999.0,4.0,75.07507507507508,49.0,Other,112
"Sports, Books and More",199.0,499.0,3.9,60.120240480961925,99.0,Charm,235
"Sports, Books and More",566.0,1398.0,4.9,59.513590844062946,66.0,Other,129
"Sports, Books and More",199.0,699.0,3.8,71.5307582260372,99.0,Charm,414
"Sports, Books and More",5699.0,14000.0,4.1,59.292857142857144,99.0,Charm,282
"Sports, Books and More",15999.0,45999.0,4.1,65.21880910454576,99.0,Charm,92
"Sports, Books and More",8447.0,34999.0,4.0,75.86502471499186,47.0,Other,287
"Sports, Books and More",189.0,499.0,4.1,62.124248496993985,89.0,Other,363
"Sports, Books and More",370.0,772.0,4.2,52.07253886010362,70.0,Other,285
"Sports, Books and More",387.0,699.0,4.0,44.63519313304721,87.0,Other,403
"Sports, Books and More",16419.0,53999.0,4.8,69.59388136817348,19.0,Other,356
"Sports, Books and More",6499.0,12522.0,4.2,48.09934515253154,99.0,Charm,95
"Sports, Books and More",299.0,999.0,4.2,70.07007007007007,99.0,Charm,474
"Sports, Books and More",252.0,799.0,4.1,68.46057571964957,52.0,Other,251
"Sports, Books and More",449.0,900.0,3.5,50.11111111111111,49.0,Other,215
"Sports, Books and More",249.0,599.0,4.8,58.43071786310517,49.0,Other,178
"Sports, Books and More",190.0,799.0,4.5,76.22027534418022,90.0,Other,452
"Sports, Books and More",379.0,999.0,4.2,62.06206206206206,79.0,Other,73
"Sports, Books and More",14607.0,59999.0,4.2,75.65459424323738,7.0,Other,53
"Sports, Books and More",290.0,799.0,4.0,63.7046307884856,90.0,Other,335
"Sports, Books and More",371.0,999.0,4.2,62.86286286286287,71.0,Other,322
"Sports, Books and More",11989.0,42999.0,4.1,72.11795623154028,89.0,Other,390
"Sports, Books and More",11439.0,46999.0,4.4,75.66118428051661,39.0,Other,388
"Sports, Books and More",749.0,899.0,4.9,16.68520578420467,49.0,Other,162
"Sports, Books and More",399.0,726.0,4.0,45.04132231404959,99.0,Charm,64
"Sports, Books and More",299.0,639.0,4.0,53.20813771517997,99.0,Charm,101
"Sports, Books and More",393.0,1299.0,3.9,69.7459584295612,93.0,Other,129
"Sports, Books and More",444.0,949.0,4.0,53.213909378292946,44.0,Other,293
"Sports, Books and More",313.0,499.0,4.0,37.27454909819639,13.0,Other,323
"Sports, Books and More",369.0,726.0,4.0,49.17355371900827,69.0,Other,228
"Sports, Books and More",299.0,639.0,4.0,53.20813771517997,99.0,Charm,103
"Sports, Books and More",369.0,726.0,4.0,49.17355371900827,69.0,Other,459
"Sports, Books and More",349.0,411.0,3.9,15.085158150851582,49.0,Other,416
"Sports, Books and More",599.0,1299.0,3.8,53.88760585065435,99.0,Charm,482
"Sports, Books and More",286.0,450.0,4.0,36.44444444444444,86.0,Other,284
"Sports, Books and More",343.0,1299.0,4.1,73.59507313317937,43.0,Other,323
"Sports, Books and More",199.0,,3.6,,99.0,Charm,466
"Sports, Books and More",649.0,999.0,4.1,35.03503503503504,49.0,Other,387
"Sports, Books and More",494.0,949.0,4.0,47.94520547945205,94.0,Other,283
"Sports, Books and More",369.0,475.0,4.0,22.315789473684212,69.0,Other,91
"Sports, Books and More",393.0,1499.0,3.9,73.78252168112076,93.0,Other,140
"Sports, Books and More",395.0,475.0,4.0,16.842105263157894,95.0,Other,318
"Sports, Books and More",370.0,999.0,3.7,62.96296296296296,70.0,Other,336
"Sports, Books and More",364.0,475.0,4.0,23.36842105263158,64.0,Other,259
"Sports, Books and More",310.0,,4.0,,10.0,Other,451
"Sports, Books and More",379.0,475.0,4.0,20.210526315789473,79.0,Other,194
"Sports, Books and More",475.0,1299.0,4.2,63.433410315627405,75.0,Other,178
"Sports, Books and More",749.0,1035.0,4.2,27.632850241545892,49.0,Other,209
"Sports, Books and More",324.0,699.0,3.8,53.648068669527895,24.0,Other,407
"Sports, Books and More",393.0,1299.0,3.9,69.7459584295612,93.0,Other,251
"Sports, Books and More",599.0,1299.0,3.9,53.88760585065435,99.0,Charm,498
"Sports, Books and More",429.0,999.0,3.9,57.05705705705706,29.0,Other,294
"Sports, Books and More",399.0,599.0,3.7,33.3889816360601,99.0,Charm,430
"Sports, Books and More",599.0,1499.0,3.8,60.04002668445631,99.0,Charm,472
"Sports, Books and More",590.0,1299.0,3.8,54.58044649730562,90.0,Other,304
"Sports, Books and More",379.0,599.0,4.0,36.727879799666105,79.0,Other,72
"Sports, Books and More",379.0,599.0,4.0,36.727879799666105,79.0,Other,146
"Sports, Books and More",599.0,1299.0,3.6,53.88760585065435,99.0,Charm,372
"Sports, Books and More",199.0,,3.6,,99.0,Charm,117
"Sports, Books and More",942.0,2499.0,4.1,62.30492196878752,42.0,Other,496
"Sports, Books and More",449.0,1299.0,3.8,65.43494996150885,49.0,Other,145
"Sports, Books and More",779.0,1299.0,4.1,40.03079291762894,79.0,Other,405
"Sports, Books and More",493.0,1499.0,3.5,67.11140760507006,93.0,Other,461
"Sports, Books and More",649.0,1199.0,3.8,45.87155963302752,49.0,Other,132
"Sports, Books and More",1519.0,3999.0,3.9,62.01550387596899,19.0,Other,112
"Sports, Books and More",999.0,1699.0,4.0,41.20070629782225,99.0,Charm,296
"Sports, Books and More",599.0,999.0,4.0,40.04004004004004,99.0,Charm,127
"Sports, Books and More",1099.0,1899.0,4.1,42.1274354923644,99.0,Charm,413
"Sports, Books and More",699.0,1099.0,4.2,36.39672429481347,99.0,Charm,98
"Sports, Books and More",599.0,1499.0,4.2,60.04002668445631,99.0,Charm,423
"Sports, Books and More",599.0,1299.0,4.1,53.88760585065435,99.0,Charm,287
"Sports, Books and More",469.0,760.0,3.9,38.28947368421053,69.0,Other,165
"Sports, Books and More",649.0,2099.0,4.2,69.08051453072892,49.0,Other,471
"Sports, Books and More",1449.0,2999.0,4.1,51.68389463154385,49.0,Other,317
"Sports, Books and More",1799.0,3999.0,4.2,55.01375343835959,99.0,Charm,455
"Sports, Books and More",1449.0,2999.0,3.9,51.68389463154385,49.0,Other,467
"Sports, Books and More",1498.0,3099.0,4.8,51.661826395611484,98.0,Other,145
"Sports, Books and More",569.0,980.0,4.8,41.93877551020408,69.0,Other,221
"Sports, Books and More",799.0,2099.0,3.8,61.93425440686041,99.0,Charm,274
"Sports, Books and More",425.0,999.0,3.5,57.45745745745746,25.0,Other,279
"Sports, Books and More",1799.0,3999.0,4.2,55.01375343835959,99.0,Charm,123
"Sports, Books and More",649.0,2099.0,3.9,69.08051453072892,49.0,Other,218
"Sports, Books and More",525.0,1299.0,4.1,59.58429561200924,25.0,Other,407
"Sports, Books and More",649.0,1099.0,3.7,40.94631483166515,49.0,Other,477
"Sports, Books and More",825.0,2299.0,3.4,64.11483253588517,25.0,Other,285
"Sports, Books and More",1599.0,2500.0,3.9,36.04,99.0,Charm,396
"Sports, Books and More",1599.0,2999.0,3.8,46.68222740913638,99.0,Charm,121
"Sports, Books and More",989.0,1999.0,4.0,50.52526263131566,89.0,Other,186
"Sports, Books and More",1059.0,,4.0,,59.0,Other,263
"Sports, Books and More",659.0,899.0,3.9,26.696329254727473,59.0,Other,378
"Sports, Books and More",1119.0,1240.0,4.2,9.758064516129032,19.0,Other,462
"Sports, Books and More",1599.0,2699.0,3.9,40.75583549462764,99.0,Charm,305
"Sports, Books and More",349.0,699.0,3.5,50.07153075822603,49.0,Other,415
"Sports, Books and More",599.0,1299.0,4.1,53.88760585065435,99.0,Charm,80
"Sports, Books and More",649.0,2099.0,3.7,69.08051453072892,49.0,Other,173
"Sports, Books and More",1449.0,2999.0,4.1,51.68389463154385,49.0,Other,203
"Sports, Books and More",689.0,999.0,4.1,31.03103103103103,89.0,Other,256
"Sports, Books and More",599.0,999.0,4.0,40.04004004004004,99.0,Charm,263
"Sports, Books and More",1186.0,1999.0,4.1,40.670335167583794,86.0,Other,496
"Sports, Books and More",599.0,999.0,4.0,40.04004004004004,99.0,Charm,63
"Sports, Books and More",999.0,1999.0,4.2,50.025012506253134,99.0,Charm,219
"Sports, Books and More",1498.0,3099.0,4.8,51.661826395611484,98.0,Other,467
"Sports, Books and More",629.0,1999.0,4.8,68.53426713356679,29.0,Other,54
"Sports, Books and More",7999.0,8999.0,4.5,11.1123458162018,99.0,Charm,265
"Sports, Books and More",999.0,1799.0,4.0,44.469149527515285,99.0,Charm,400
"Sports, Books and More",999.0,1699.0,3.8,41.20070629782225,99.0,Charm,78
"Sports, Books and More",499.0,1098.0,4.0,54.55373406193078,99.0,Charm,89
"Sports, Books and More",1139.0,1799.0,3.8,36.68704836020011,39.0,Other,397
"Sports, Books and More",203.0,850.0,4.0,76.11764705882354,3.0,Other,153
"Sports, Books and More",1070.0,2999.0,1.0,64.32144048016005,70.0,Other,315
"Sports, Books and More",2070.0,3599.0,4.2,42.484023339816616,70.0,Other,313
"Sports, Books and More",339.0,599.0,3.9,43.40567612687813,39.0,Other,200
"Sports, Books and More",358.0,999.0,4.0,64.16416416416416,58.0,Other,82
"Sports, Books and More",141.0,299.0,4.3,52.84280936454849,41.0,Other,309
"Sports, Books and More",999.0,1799.0,4.0,44.469149527515285,99.0,Charm,59
"Sports, Books and More",837.0,1999.0,4.1,58.12906453226613,37.0,Other,230
"Sports, Books and More",349.0,650.0,3.8,46.30769230769231,49.0,Other,246
"Sports, Books and More",1199.0,2500.0,3.9,52.04,99.0,Charm,208
"Sports, Books and More",3299.0,4499.0,4.6,26.672593909757726,99.0,Charm,426
"Sports, Books and More",1169.0,1999.0,5.0,41.5207603801901,69.0,Other,422
"Sports, Books and More",666.0,1999.0,4.3,66.68334167083542,66.0,Other,380
"Sports, Books and More",399.0,999.0,4.4,60.06006006006006,99.0,Charm,336
